Year,Quarter,Course,Code,Instructor,Time,Max,Enr,Place
2023,Spring,Math 5A CALCULUS LIFE SCI I,44550,"SIMONSON, D.",MWF 8:00- 8:50,193,180,ALP 2300
2023,Spring,Math 5B CALC LIFE SCI II,44560,"SIMONSON, D.",MWF 11:00-11:50,147,106,ALP 2300
2023,Spring,Math 5B CALC LIFE SCI II,44570,"SIMONSON, D.",MWF 12:00-12:50p,106,75,ALP 2300
2023,Spring,Math 8 FUNCTIONS &MODELING,44580,"DONALDSON, N.",MWF 3:00- 3:50p,45,16,MSTB 122
2023,Spring,Math 9 INTRO PROG NUM ANLY,44590,"ZHOU, P.",MWF 3:00- 3:50p,50,49,ALP 3600
2023,Spring,Math 9 INTRO PROG NUM ANLY,44608,"ZHANG, Z.",MWF 2:00- 2:50p,46,31,ALP 3610
2023,Spring,Math 10 INTRO PROG DATA SCI,44620,"DAVIS, C.",MWF 1:00- 1:50p,50,49,ALP 3610
2023,Spring,Math 13 INTRO ABSTRACT MATH,44660,"PANTANO, A.",MWF 9:00- 9:50,60,59,ALP 2200
2023,Spring,Math 13 INTRO ABSTRACT MATH,44670,"PI, J.",MWF 3:00- 3:50p,58,46,SSTR 103
2023,Spring,Math 107 NUMERICAL DIFF EQNS,44680,"LOWENGRUB, J.",MWF 11:00-11:50,40,13,ALP 3610
2023,Spring,Math 110B OPTIMIZATION II,44715,"GUO, R.",MWF 1:00- 1:50p,57,43,DBH 1500
2023,Spring,Math 115 MATH MODELING,44740,"YOUSSEFPOUR, H.",MWF 9:00- 9:50,40,27,RH 114
2023,Spring,Math 120A INTRO GROUP THEORY,44804,"IVANISVILI, P.",MWF 1:00- 1:50p,59,53,ALP 2100
2023,Spring,Math 120A INTRO GROUP THEORY,44809,"SMITH, L.",MWF 12:00-12:50p,57,57,ALP 2100
2023,Spring,Math 120B INTRO RINGS/FIELDS,44827,"REYES, M.",MWF 11:00-11:50,58,39,MSTB 124
2023,Spring,Math 120B INTRO RINGS/FIELDS,44830,"FLOREA, A.",MWF 2:00- 2:50p,59,58,MSTB 124
2023,Spring,Math 120C INTRO GALOIS THEORY,44835,"CRANSTON, M.",MWF 2:00- 2:50p,20,13,MSTB 114
2023,Spring,Math 121A LINEAR ALGEBRA I,44840,"FERBER, A.",MWF 11:00-11:50,52,42,DBH 1500
2023,Spring,Math 121A LINEAR ALGEBRA I,44845,"FERBER, A.",MWF 12:00-12:50p,55,37,DBH 1500
2023,Spring,Math 121B LINEAR ALGEBRA II,44850,"FIGOTIN, A.",MWF 12:00-12:50p,45,7,MSTB 122
2023,Spring,Math 121B LINEAR ALGEBRA II,44855,"CHEONG, G.",MWF 11:00-11:50,45,44,MSTB 122
2023,Spring,Math 130A PROBABILITY I,44858,"HUBER, K.",MWF 1:00- 1:50p,40,26,MSTB 122
2023,Spring,Math 130A PROBABILITY I,44862,"ZHU, Y.",MWF 2:00- 2:50p,40,31,RH 114
2023,Spring,Math 130B PROBABILITY II,44867,"FERBER, A.",MWF 10:00-10:50,58,56,MSTB 124
2023,Spring,Math 130B PROBABILITY II,44873,"YU, Y.",MWF 9:00- 9:50,57,21,SSTR 103
